LOT,NO,변환,생산량,제품명,코멘트,결점종류,X좌표,Y좌표,Y사이즈,X사이즈,사이즈,밸류,마킹레벨
20220324CC02022,2103,20220324CC020222103,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1162,1502351,0.269,0.432,0.3505,52,10
20220324CC02022,2137,20220324CC020222137,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1207,1504145,0.215,0.432,0.3235,56,10
20220324CC02022,2184,20220324CC020222184,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,주기불량,1212,1505759,0.322,0.432,0.377,54,10
20220324CC02022,2199,20220324CC020222199,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,주기불량,1223,1506316,0.215,0.432,0.3235,64,10
20220324CC02022,2270,20220324CC020222270,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1208,1508794,0.269,0.378,0.3235,68,10
20220324CC02022,2286,20220324CC020222286,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1195,1509208,0.215,0.432,0.3235,59,10
20220324CC02022,2401,20220324CC020222401,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1376,120527,0.322,0.432,0.377,45,10
20220324CC02022,2414,20220324CC020222414,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1348,145442,0.269,0.378,0.3235,39,10
20220324CC02022,2416,20220324CC020222416,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1335,145743,0.376,0.378,0.377,54,10
20220324CC02022,2513,20220324CC020222513,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1412,297089,0.269,0.378,0.3235,34,10
20220324CC02022,2521,20220324CC020222521,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1319,315967,0.376,0.324,0.35,112,10
20220324CC02022,2534,20220324CC020222534,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1327,331980,0.322,0.324,0.323,33,10
20220324CC02022,2546,20220324CC020222546,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1318,352042,0.322,0.324,0.323,46,10
20220324CC02022,2548,20220324CC020222548,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1289,354372,0.322,0.378,0.35,45,10
20220324CC02022,2553,20220324CC020222553,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1340,357347,0.376,0.27,0.323,64,10
20220324CC02022,2556,20220324CC020222556,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1374,368673,0.322,0.324,0.323,144,10
20220324CC02022,2596,20220324CC020222596,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1321,444877,0.322,0.324,0.323,148,10
20220324CC02022,2640,20220324CC020222640,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1333,534531,0.43,0.432,0.431,187,10
20220324CC02022,2646,20220324CC020222646,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1337,548204,0.269,0.432,0.3505,58,10
20220324CC02022,2651,20220324CC020222651,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,라미눌림,1295,554545,0.591,0.486,0.5385,201,2
20220324CC02022,2688,20220324CC020222688,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1333,607919,0.269,0.432,0.3505,46,10
20220324CC02022,2716,20220324CC020222716,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1314,639079,0.322,0.486,0.404,49,10
20220324CC02022,2818,20220324CC020222818,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1370,769694,0.269,0.486,0.3775,32,10
20220324CC02022,2863,20220324CC020222863,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1345,879619,0.215,0.432,0.3235,51,10
20220324CC02022,2864,20220324CC020222864,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1310,880156,0.269,0.378,0.3235,31,10
20220324CC02022,2885,20220324CC020222885,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1372,932650,0.376,0.324,0.35,207,10
20220324CC02022,2992,20220324CC020222992,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1371,1170231,0.322,0.378,0.35,34,10
20220324CC02022,3040,20220324CC020223040,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1420,1265652,0.86,0.54,0.7,75,4
20220324CC02022,3045,20220324CC020223045,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1415,1275502,0.537,0.216,0.3765,33,10
20220324CC02022,3134,20220324CC020223134,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1475,1421551,0.483,0.378,0.4305,190,10
20220324CC02022,3151,20220324CC020223151,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1413,1455506,0.43,0.27,0.35,30,10
20220324CC02022,3197,20220324CC020223197,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1333,1485866,0.215,0.486,0.3505,45,10
20220324CC02022,3231,20220324CC020223231,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,주기불량,1335,1491642,0.322,0.324,0.323,42,10
20220324CC02022,3243,20220324CC020223243,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,주기불량,1286,1494761,0.269,0.378,0.3235,48,10
20220324CC02022,3273,20220324CC020223273,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,주기불량,1298,1501458,0.376,0.648,0.512,54,4
20220324CC02022,3380,20220324CC020223380,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/마킹,기포(백),115,635395,0.537,0.325,0.431,64,1
20220324CC02022,3402,20220324CC020223402,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/마킹,기포(백),111,755372,3.581,0.725,2.153,106,1
20220324CC02022,3407,20220324CC020223407,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/마킹,기포(백),70,755361,0.501,0.675,0.588,84,1
20220324CC02022,3450,20220324CC020223450,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/미마킹,기포(백),141,1124072,0.143,0.125,0.134,39,4
20220324CC02022,3464,20220324CC020223464,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/미마킹,기포(백),55,1337469,0.179,0.15,0.1645,73,4
20220324CC02022,3491,20220324CC020223491,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/미마킹,기포(백),276,382479,0.179,0.125,0.152,64,4
20220324CC02022,3501,20220324CC020223501,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/미마킹,기포(백),185,517428,0.143,0.1,0.1215,30,4
20220324CC02022,3520,20220324CC020223520,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/마킹,기포(백),213,635328,1.647,3.1,2.3735,136,1
20220324CC02022,3607,20220324CC020223607,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/미마킹,기포(백),210,1140284,0.143,0.1,0.1215,43,4
20220324CC02022,3633,20220324CC020223633,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/미마킹,기포(백),457,46500,0.179,0.1,0.1395,47,4
20220324CC02022,3682,20220324CC020223682,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/미마킹,기포(백),460,564203,0.143,0.075,0.109,38,4
20220324CC02022,3687,20220324CC020223687,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/마킹,군집,418,564791,9.028,9.028,9.028,0,4
20220324CC02022,3721,20220324CC020223721,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/마킹,기포(백),479,725572,1.755,1.275,1.515,37,1
20220324CC02022,3790,20220324CC020223790,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/미마킹,이물(흑),438,1246533,0.394,0.425,0.4095,-30,1
20220324CC02022,3850,20220324CC020223850,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/미마킹,기포(백),646,600940,0.143,0.075,0.109,45,4
20220324CC02022,3950,20220324CC020223950,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/미마킹,기포(백),913,302317,0.215,0.25,0.2325,28,3
20220324CC02022,3968,20220324CC020223968,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/마킹,기포(백),860,635392,2.65,2.35,2.5,160,1
20220324CC02022,3996,20220324CC020223996,1512,W3.1 코팅 ON46 ALR4 AD5M S7,정반사A/미마킹,이물(흑),799,635625,4.441,1.75,3.0955,-32,1
